Class,Type,Alt Class,Captured Class,Walk Speed (miles/hr),Run Speed (miles/hr),Uniform 1,Uniform 2,Uniform 3,Uniform 4,Uniform 5,Uniform 6,Walk Sound,Stand Sound,Load Sound,Ram Sound,Fire Sound,Run Sound,Charge Sound,Melee Sound,Prone Sound,Flag Bearer Sprite,GUI,Friendly GUI,Enemy GUI,Fighting Formation,Walk Formation
UGLB_USA_Inf_GCM_West_16,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_17,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_18,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_19,1,,,4,8,USPR_USA_Inf_04_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_0,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_1,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_2,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_3,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_4,1,,,4,8,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_5,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_6,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_7,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_8,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_09_Private,USPR_USA_Inf_09_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_9,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_10,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_11,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_12,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_13,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_1,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_14,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_15,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_08_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_16,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_2,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_17,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_2,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_1,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_18,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_3,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_2,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
UGLB_USA_Inf_GCM_West_Vet_19,1,,,4,8,USPR_USA_Inf_09_Private,USPR_USA_Inf_01_NCO,USPR_USA_Inf_08_Private_t,USPR_USA_Inf_08_Private,USPR_USA_Inf_01_Private_t,USPR_USA_Inf_04_Private,SFX_Inf_Walk_3,SFX_Inf_Stand_1,SFX_Art_Load_1,SFX_Art_Ready_1,SFX_Inf_Fire_1,SFX_Inf_Run_1,SFX_Inf_Charge_1,SFX_Inf_USA_Melee_1,SFX_Inf_Prone_3,USPR_USA_Inf_01_Officer,GUI_US_LVL6_Inf,GUI_US_LVL6_Friendly,GUI_US_Enemy,DRIL_Lvl6_Inf_LineFight,DRIL_Lvl6_Inf_Column
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,east,nco,vet / USPR_CSA_Inf_08_Private,a,b,c,d,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_06_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_01_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_06_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_06_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,west,nco,vet / USPR_CSA_Inf_08_Private,a,b,c,d,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_06_Private,,,,,,,,,,,,,,,,,,,
,3,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_06_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_06_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_01_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_03_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_02_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_01_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,,,,,,,,,,,,,,
,4,USPR_CSA_Inf_02_NCO,USPR_CSA_Inf_08_Private,USPR_CSA_Inf_01_Private,USPR_CSA_Inf_03_Private,USPR_CSA_Inf_02_Private,USPR_CSA_Inf_03_Private,,,,,,,,,,,,,,,,,,,
